,titles,images,ratings,prices
64,"UMIDIGI A15 Cell Phones 16(8+8)G+256G, Android 13 Mobile Phone, 64MP Main Camera Octa Core Smartphone Unlocked 6.7” HD+ Full-View Waterdrop Screen, 5000mAh Battery 20W Fast Charging, 4G Dual SIM, NFC",https://m.media-amazon.com/images/I/61XHp5PvPUL._AC_UY218_.jpg,3.9 out of 5 stars,$169.99
65,"UMIDIGI G3 Android 13 Unlocked Cell Phone Dual Sim 4G LTE, 4GB+64GB Expandable 1TB with 4* A53-Cortex of 2.0GHz, 6.52 inch HD, 13MB+5MB Al Camera Night Mode, 5150mAh GSM Unlocked Phone",https://m.media-amazon.com/images/I/71p4A4T6TYL._AC_UY218_.jpg,3.8 out of 5 stars,$74.99
66,"USB Charging Station－10 Ports USB Charger Dock, USB Multiple Port Charger,70.8 Inch Extension Cord,Suitable for Various Devices Mobile Phones, Cameras, Bluetooth Headsets(2PC)",https://m.media-amazon.com/images/I/51GjvgR6nfL._AC_UY218_.jpg,5.0 out of 5 stars,$149.99
67,"MMY I24 Ultra 5G Unlocked Smartphone,6GB+256GB Fully Unlocked Cell Phone for Android 13, 6.8"" Unlocked Cell Phone, 6800mAh, 48MP+108MP Dual Camera/Dual SIM/Fingerprint Lock/Face (Purple)",https://m.media-amazon.com/images/I/71hmici6DyL._AC_UY218_.jpg,5.0 out of 5 stars,$188.99
68,"4G SIM-Free Mobile Phone for The Elderly with Big Button, LTE Unlocked Easy to Use Basic Senior Phones with SOS Function,Loud Volume,1400 mAh,Single SIM Slot,Charging Base and Flashlight",https://m.media-amazon.com/images/I/7197AQajBzL._AC_UY218_.jpg,4.3 out of 5 stars,$56.00
69,Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night,https://m.media-amazon.com/images/I/71Ptb2ttfaS._AC_UY218_.jpg,3.8 out of 5 stars,$99.99
70,BLU G93 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/6GB | Triple 50MP Camera | US Version | US Warranty | Black,https://m.media-amazon.com/images/I/71mCr+xzSOL._AC_UY218_.jpg,4.4 out of 5 stars,$149.99
71,"NUU A15 Cell Phone 4GB + 128GB, Unlocked for Mint, Metro, T-Mobile, Qlink and More, Perfect for Teenagers, Dual SIM 4G, Octa-Core Helio G36 2.2GHz 6.5"" HD+, Android 13, Purple, US Warranty",https://m.media-amazon.com/images/I/71gQEDWL4SL._AC_UY218_.jpg,4.2 out of 5 stars,$119.99
72,"A14 ProMax Unlocked Cell Phones Android 13 Smart Phone with Dynamic Island 8GB+256GB Mobile Phones 6.8"" FHD Screen 50MP+24MP/6800 mAh/Dual SIM/Face ID/Snapdragon 8cen2",https://m.media-amazon.com/images/I/612DiG5QiDL._AC_UY218_.jpg,4.0 out of 5 stars,$129.99
73,"Spark 10 Pro Unlocked Android Cell Phone 6.7 Inch HD Screen Unlocked Phone 8-Core 8GB+256GB Android Phone 50MP+24MP Camera 6800mAh Battery Super Endurance, 5G Dual SIM Card Android Phone (Purple)",https://m.media-amazon.com/images/I/712cwiuX5uL._AC_UY218_.jpg,5.0 out of 5 stars,$129.99
